gvkey,year,exec_fullname,gender,age,joined_co,leftco,ceoann,becameceo,leftofc,salary,total_curr
164609,2016,G. Bradley Cole,MALE,60.0,,,,,,520.0,520.0
164609,2016,Frederic G. Pla,MALE,57.0,,,,,,500.0,500.0
164609,2016,James J. Vaughn,MALE,53.0,,,,,,400.0,400.0
164609,2016,Kimberly J. Popovits,FEMALE,57.0,,,CEO,2009/01/01,2019/11/08,686.4,686.4
164609,2016,Steven Shak,MALE,65.0,,,,,,489.3,489.3
164609,2017,G. Bradley Cole,MALE,61.0,,,,,,530.4,530.4
164609,2017,Frederic G. Pla,MALE,58.0,,,,,,510.0,510.0
164609,2017,James J. Vaughn,MALE,54.0,,,,,,408.0,408.0
164609,2017,Kimberly J. Popovits,FEMALE,58.0,,,CEO,2009/01/01,2019/11/08,700.128,700.128
164609,2017,Steven Shak,MALE,66.0,,,,,,499.1,499.1
16821,2015,Aurelio Alemn-Bermudez,MALE,56.0,1998/01/01,,CEO,2009/09/28,,880.0,881.2
16821,2015,Lawrence Odell,MALE,67.0,,,,,,550.0,551.2
16821,2015,Calixto Garca-Vlez,MALE,47.0,,,,,,550.0,551.2
16821,2015,"Orlando Berges-Gonzlez, CPA, CPA",MALE,57.0,,,,,,600.0,601.2
16821,2015,Cassan A. Pancham,MALE,54.0,,,,,,400.0,401.2
16821,2015,"Nayda Rivera-Batista, CPA",FEMALE,42.0,,,,,,419.231,420.431
16821,2015,Donald L. Kafka,MALE,55.0,,,,,,524.615,625.815
16821,2016,Aurelio Alemn-Bermudez,MALE,57.0,1998/01/01,,CEO,2009/09/28,,940.7689999999999,941.9689999999999
16821,2016,Calixto Garca-Vlez,MALE,48.0,,,,,,550.0,551.2
16821,2016,"Orlando Berges-Gonzlez, CPA, CPA",MALE,58.0,,,,,,600.0,601.2
16821,2016,Cassan A. Pancham,MALE,55.0,,,,,,438.462,439.662
16821,2016,"Nayda Rivera-Batista, CPA",FEMALE,43.0,,,,,,463.461,464.661
16821,2016,Donald L. Kafka,MALE,56.0,,,,,,550.0,551.2
16821,2017,Aurelio Alemn-Bermudez,MALE,58.0,1998/01/01,,CEO,2009/09/28,,959.0,1367.775
16821,2017,Calixto Garca-Vlez,MALE,49.0,,,,,,550.0,641.95
16821,2017,"Orlando Berges-Gonzlez, CPA, CPA",MALE,59.0,,,,,,600.135,751.335
16821,2017,Cassan A. Pancham,MALE,56.0,,,,,,450.0,541.2
